team,tp,player,pp
Manchester United,2850000,Paul Pogba,14.6
Real Madrid,2290000,C.Ronaldo,26.4
Barcelona,1980000,Lionel Messi,24.2
Chelsea,1650000,Eden Hazard,10.2
Bayern Munich,1500000,Robert Lewandowksi,4.03
Arsenal,1125000,Mesut Ozil,11.6
Juventus ,850000,Gonzalo Higuain,5.28
Liverpool,805000,Phillipe Coutinho,8.64
PSG,685000,Angel Di Maria,5.45
AC Milan,650000,Keisuke Honda,5.85
Atletico M,500000,Antoine Griezmann,3.52
