team,tp,player,pp
Manchester United,"2,850,000",Paul Pogba,14.6
Real Madrid,"2,290,000",C.Ronaldo,26.4
Barcelona,"1,980,000",Lionel Messi,24.2
Chelsea,"1,650,000",Eden Hazard,10.2
Bayern Munich,"1,500,000",Robert Lewandowksi,4.03
Arsenal,"1,125,000",Mesut Ozil,11.6
Juventus ,"850,000",Gonzalo Higuain,5.28
Liverpool,"805,000",Phillipe Coutinho,8.64
PSG,"685,000",Angel Di Maria,5.45
AC Milan,"650,000",Keisuke Honda,5.85
Atletico M,"500,000",Antoine Griezmann,3.52
